source,country,lang,date,categories,wtp_signals,platform_sentiment,engagement,segment_hints,text_preview,url
appstore,korea,en,2019-10-26,banking|phone_connectivity,,0.50,89,,"Can't use without Kakaotalk account. FYI, if you are a foreigner, you can't open a bank account; but it is same in U.S. and many other countries. This is not a one-time prepaid cash account but it is a reloadable banking account from an internet bank.",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-10-16,,,0.00,22,,"Seriously, make this accessible for foreigners too. You can't be this stuck up, your business could get better if you expand to foreigners.",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-10-08,,,1.00,1,,Easy to use,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2019-10-01,discrimination|driving,,0.00,2,,이 앱은 외국인을 차별합니다. 가입이 안된다네요. 업데이트: 국내 운전면허 있습니다.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2019-09-25,,,0.00,1,,외국인 신청 불가능.... 글로벌 서비스라고 하더니...,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2019-09-02,,,0.00,0,,아직도 외국인이 계좌 못 만드네요...,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-08-13,banking,,0.00,61,,This app deserves zero stars. Its not fair to foreigners living in Korea. Only Korean citizens can use this app. I do not understand why Western Union transfers and banking policies are so difficult for foreigners living in Korea.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2019-08-10,banking|discrimination,,1.00,5,,해외거주중이라 사용은 안되지만 밑에 외국인들 리뷰 겁나웃김; 외국에도 그나라 국적자가 아니면 가입안되는 은행겁나 많은데 무슨 인종차별같은 말도안되는 개소리쳐하고 있음?,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-07-31,visa|discrimination,,0.00,23,,Another stupid app from racist Korean group Kakao. They are clamming that they can't check the identity of foreigners living in Korea although they have ARC (Alien Registration Cards) issued by Korean government. How can you still claim this in 2019? Are you not ashamed? They don't deserve even one ,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-07-23,language,,0.00,8,,Why no English language!?? how can i set to English language????,https://play.google.com/store/apps/details?id=com.kakaobank.channel
